char_count,word_count,polarity,subjectivity,exclam_count,caps_count,label
8848.0,1423.0,0.00947565431510386,0.40389163588704885,0.0,275.0,1
3791.0,605.0,0.13062725468975472,0.43256538600288597,0.0,113.0,0
840.0,133.0,0.16944444444444443,0.46759259259259267,0.0,47.0,0
2441.0,384.0,0.03175004008337342,0.4088464005130671,0.0,61.0,0
1268.0,214.0,0.0933922558922559,0.47272727272727266,0.0,43.0,0
3175.0,535.0,0.0836853886853887,0.5004782254782255,0.0,102.0,1
5648.0,926.0,-0.03342469545957919,0.46605481727574744,0.0,196.0,1
2163.0,340.0,-0.032796451914098974,0.22612044817927168,0.0,80.0,0
8496.0,1337.0,-0.03958510487528346,0.3964516014739229,0.0,316.0,1
867.0,143.0,-0.0016666666666666666,0.0,0.0,51.0,0
3376.0,564.0,0.14453647416413373,0.40751519756838905,0.0,96.0,0
1177.0,186.0,0.15744498556998557,0.3101190476190477,1.0,86.0,1
1581.0,252.0,-0.030803571428571448,0.5079052197802197,2.0,66.0,1
1467.0,221.0,0.08095238095238096,0.5392857142857143,0.0,68.0,0
5752.0,1028.0,0.02885990301687979,0.5158530068123092,2.0,176.0,1
5297.0,930.0,-0.019342980962699274,0.5017966775009028,0.0,141.0,1
4563.0,772.0,0.05061216561216562,0.44814047064047074,0.0,119.0,0
6451.0,1004.0,0.07742367281840967,0.39330238474975315,0.0,250.0,0
2722.0,436.0,0.1460054324760207,0.42333821407350813,0.0,87.0,1
1250.0,219.0,0.2166170634920635,0.48085317460317456,0.0,38.0,0
2539.0,424.0,0.09261271249076125,0.36913525498891353,0.0,80.0,0
6913.0,1184.0,0.07452525252525254,0.38501952561327546,0.0,205.0,0
3768.0,629.0,0.0415881283068783,0.42076306216931214,0.0,119.0,0
415.0,66.0,-0.0475,0.27999999999999997,0.0,24.0,0
64.0,13.0,0.5,0.5,0.0,10.0,1
4360.0,696.0,0.06471048513302036,0.3351992295654268,0.0,195.0,0
3107.0,502.0,-0.06964821964821964,0.37305877305877305,0.0,81.0,1
4772.0,756.0,0.004393365472910929,0.42954545454545434,0.0,158.0,0
196.0,28.0,0.09861111111111114,0.6111111111111112,1.0,35.0,1
4053.0,638.0,0.16865182436611012,0.43368274582560296,1.0,140.0,1
904.0,155.0,0.18575036075036072,0.4939033189033189,0.0,31.0,0
2140.0,340.0,0.11344696969696973,0.375,0.0,92.0,0
2742.0,455.0,0.254469696969697,0.4608712121212122,0.0,155.0,0
2435.0,388.0,0.08897058823529412,0.47941176470588226,0.0,100.0,0
3112.0,506.0,0.15315315315315314,0.4193693693693694,0.0,110.0,0
2267.0,372.0,0.17620772946859906,0.47016908212560393,0.0,99.0,0
1826.0,308.0,0.022854203409758966,0.5457524985302764,0.0,68.0,1
354.0,62.0,0.17407407407407408,0.4481481481481482,0.0,20.0,1
1407.0,260.0,0.035669642857142865,0.40354166666666663,1.0,67.0,1
8148.0,1338.0,0.08058615083931539,0.348360640765704,0.0,200.0,0
1877.0,299.0,0.09709595959595958,0.5791666666666667,0.0,75.0,1
2255.0,394.0,0.04274691358024692,0.4395061728395062,1.0,57.0,1
